stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
1552,1552,Kangaroo Express @ Newberry/Tower Road,Eastbound Newberry RD @ Nearside NW 75th ST,29.65958521,-82.42257182
1096,1096,Oaks Square Complex,Eastbound Newberry RD @ Farside NW 69th TER,29.65946677,-82.41602916
1097,1097,Oaks Mall,Eastbound Newberry RD @ Nearside Oaks Mall,29.6595136,-82.41387533
1313,1313,Bed and Breakfast District,Eastbound SE 2nd AVE @ Nearside SE 7th ST,29.65008869,-82.31843697
1367,1367,Eastbound SE 2nd AVE @ SE 10th ST,Eastbound SE 2nd AVE @ Farside SE 10th ST,29.65000762,-82.31319601
855,855,Walgreens @ NE 3rd Avenue,Northbound Waldo RD @ Nearside NE 3rd AVE,29.6534051,-82.31038969
856,856,UF Health Family Medicine Eastside Northbound,Northbound Waldo RD @ Farside NE 5th AVE,29.65501537,-82.30927575
857,857,Episcopal Children's Services Northbound,Northbound Waldo RD @ Nearside NE 8th AVE,29.65653916,-82.30825346
1315,1315,Super Wal-Mart @ Waldo Road,Northbound Waldo RD @ Farside NE 12th AVE,29.66403627,-82.30333386
870,870,Tacachale Center,Northbound Waldo RD @ Farside NE 16th AVE,29.666202,-82.301821
871,871,Family Worship Center,Northbound Waldo RD @ Farside NE 21st PL,29.67019032,-82.29910378
872,872,University of Florida Eastside Campus @ Waldo Road,Northbound Waldo RD @ Nearside NE 23rd AVE,29.671875,-82.29799935
1163,1163,Sonny's Barbecue @ Waldo Road,Northbound Waldo RD @ Nearside NE 27th AVE,29.67595465,-82.29522281
1164,1164,Merita Bread Box,Northbound Waldo RD @ Farside NE 31st AVE,29.68146736,-82.29147611
1317,1317,GRACE Marketplace,Eastbound NE 39th AVE @ Farside Waldo RD,29.68330445,-82.28619051
1329,1329,Alachua County Juvenile Detention,Eastbound NE 39th AVE @ Farside Waldo RD,29.68015559,-82.28020603
1320,1320,Airport,Westbound Airport Access RD @ Farside NE 39th AVE,29.68608393,-82.27632037
1319,1319,Gainesville Regional Airport Outbound,Westbound Airport Access RD @ Nearside NE 39th AVE,29.67896676,-82.2766162
1330,1330,Alachua County Juvenile Detention,Westbound NE 39th AVE @ Farside Waldo RD,29.68018568,-82.2796301
1318,1318,GRACE Marketplace,Westbound NE 39th AVE @ Nearside Waldo RD,29.68357085,-82.28617224
1339,1339,Merita Bread Box,Southbound Waldo RD @ Nearside NE 31st AVE,29.68154462,-82.29173661
1338,1338,Sonny's Barbecue @ Waldo Road,Southbound Waldo RD @ Farside NE 27th AVE,29.67630083,-82.29527206
896,896,University of Florida Eastside Campus @ Waldo Road,Southbound Waldo RD @ Farside NE 21st PL,29.67176736,-82.29833884
897,897,Crab House,Southbound Waldo RD @ Farside Ne 18th PL,29.66803508,-82.30084745
1316,1316,Super Wal-Mart @ Waldo Road,Southbound Waldo RD @ Nearside NE 12th AVE,29.66377693,-82.30375186
909,909,Episcopal Children's Services,Southbound Waldo RD @ Farside NE 8th AVE,29.65654393,-82.30849403
910,910,UF Health Family Medicine Eastside,Southbound Waldo RD @ Farside NE 5th AVE,29.65502911,-82.30949489
912,912,Kangaroo @ Waldo Road,Southbound Waldo RD @ Nearside E University AVE,29.65272095,-82.3110917
913,913,Southbound SE 11th Street @ SE 2nd Avenue,Southbound SE 11th ST @ Nearside SE 2nd AVE,29.65031018,-82.31161287
1368,1368,Westbound SE 2nd AVE @ SE 10th ST,Westbound SE 2nd AVE @ Nearside SE 10th Street,29.6502154,-82.31322169
1314,1314,Bed and Breakfast District,Westbound SE 2nd AVE @ Farside SE 7th ST,29.65032694,-82.31871036
1165,1165,Hills Mini Storage,Westbound NE 39th Ave @ Farside Waldo Rd,29.68572746,-82.29036362
1166,1166,Ironwood Golf Course,Westbound NE 39th AVE @ Nearside Waldo RD,29.68813302,-82.29698621
1495,1495,Passage Family Church,Southbound NE 15th St @ Nearside NE 20th Pl,29.6716293,-82.30590871
1503,1503,Southbound Metcalfe Elementary School,Southbound NE 15th ST @ Nearside NE 18th AVE,29.66845669,-82.3058838
915,915,Triangle Club,Westbound SE 4th AVE @ Farside SE 11th ST,29.64828715,-82.31260031
917,917,Westbound SE 4th Avenue @ SE 8th Street,Westbound SE 4th AVE @ Nearside SE 8th ST,29.64827988,-82.31635951
920,920,GRU Administration Building,Westbound SE 4th AVE @ Nearside SE 4th ST,29.64841357,-82.32146051
850,850,GRU Administration Building,Eastbound SE 4th AVE @ Farside SE 4th ST,29.64831694,-82.32136902
851,851,Eastbound SE 4th Avenue @ SE 8th Street,Eastbound SE 4th AVE @ Nearside SE 8th ST,29.64813677,-82.31655902
852,852,Triangle Club,Eastbound SE 4th AVE @ Nearside 11th ST,29.64818319,-82.31267957
853,853,Northbound SE 11th Street @ SE 2nd Avenue,Northbound SE 11th ST @ Nearside SE 2nd AVE,29.64988527,-82.31131336
1447,1447,Gardenia Gardens,Eastbound NE 8th AVE @ Farside NE 17th ST,29.65913486,-82.30267408
1502,1502,Northbound Metcalfe Elementary School,Northbound NE 15th ST @ Nearside NE 18th AVE,29.66828465,-82.30574735
1494,1494,NE 15th St @ NE 20th Pl,Northbound NE 15th St @ Farside NE 20th Pl,29.67178951,-82.30576168
877,877,Quick Mart @ NE 15th Street,Northbound NE 15th ST @ Nearside NE 39th AVE,29.68815493,-82.30567869
878,878,Ironwood Golf Course,Eastbound NE 39th AVE @ Farside Waldo RD,29.68779109,-82.29660969
1430,1430,NE 39th Ave @ Waldo Rd,Eastbound NW 39th AVE @ Nearside Waldo RD,29.68518209,-82.28982553
1428,1428,FDOT Operations Center,Eastbound NW 39th AVE @ Nearside NE 52 ST,29.6734376,-82.2639662
959,959,Family Housing @ SW 34th Street,Northbound SW 34th ST @ Nearside Radio RD,29.64207044,-82.37232667
1458,1458,Northside Family Housing,Eastbound Radio RD @ Nearside SW 34 ST,29.64215105,-82.37072797
1214,1214,Corry Village,Northbound Village DR @ Nearside W Fraternity Row,29.64761044,-82.36005034
926,926,Leigh Hall,Northbound Buckman DR @ Nearside W University AVE,29.65063778,-82.34467313
927,927,Ben Hill Griffin Stadium North End Zone,Southbound Gale Lemerand DR @ Farside W Universit*,29.6510556,-82.34974301
929,929,O'Connell Center @ Stadium Road,Westbound Stadium RD @ Farside Gale Lemerand Dr,29.6485231,-82.35048301
930,930,Gale Lemerand Athletic Center,Westbound Stadium Rd @ Nearside Woodlawn Dr,29.6483911,-82.35373268
1161,1161,Springs Residence Building,Westbound Fraternity Row @ Farside Woodlawn DR,29.64861427,-82.35656734
1133,1133,Fraternity Row at West Fraternity Drive,Westbound Fraternity Row @ Nearside W Fraternity *,29.64786727,-82.35799618
1189,1189,Corry Village,Westbound West Fraternity DR @ Nearside Village DR,29.64777227,-82.36005001
800,800,Corry Village,Southbound Museum RD @ Farside Village DR,29.64494161,-82.36071266
801,801,UF Bat Houses,Southbound Museum RD @ Nearside Radio RD,29.64322192,-82.3636189
1457,1457,Physical Plant Radio Road,Westbound Radio RD @ Nearside SW 34 ST,29.64231286,-82.37073272
939,939,Orthopaedics and Sports Medicine Institute,Southbound SW 34th ST @ Nearside Hull RD,29.63788461,-82.37266767
1559,1559,Butler Plaza North,Southbound Clark Butler BLVD @ Nearside Plaza BLVD,29.62709631,-82.38516457
1580,1580,Celebration Pointe At Regal Cinema 10,SW 45th Street Farside SW 32nd Road,29.623121,-82.395109
1578,1578,Celebration Pointe PNR,SW 32nd Rd And SW 50th Terrace Parking Lot,29.62382134,-82.39677937
1579,1579,Outside of Butler Plaza TS,SW 35th Blvd And SW 42nd Street,29.62494758,-82.38700768
1555,1555,Marshall's @ Plaza Blvd,Eastbound Plaza Blvd @ Farside SW 62nd Blvd,29.62772626,-82.38325404
1484,1484,Varsity House Apartments @ SW 38th Ter,Northbound SW 38th TER @ Nearside Hull RD,29.63647212,-82.38076728
1483,1483,aloft Hotel @ Hull Rd Eastbound,Eastbound Hull Rd Farside SW 37th St,29.6372762,-82.37789471
1237,1237,Museum Walk Apartments,Eastbound Hull RD @ Nearside SW 34th ST,29.63759892,-82.37495241
1173,1173,Cultural Plaza,Eastbound Hull RD @ Farside Bledsoe DR,29.63757261,-82.36858601
1174,1174,Lacrosse Field,Eastbound Hull RD @ Nearside Natural Area DR,29.63758708,-82.36517442
1176,1176,Fifield Hall,Eastbound Hull RD @ Nearside Mowry RD,29.63757659,-82.3621817
951,951,Southbound SW 26th Drive @ SW 40th Place,Southbound SW 26th DR @ Nearside SW 40th PL,29.61413182,-82.36121169
452,452,Gainesville Place Apartments @ SW 35th Place,Westbound SW 35th PL @ Nearside SW 28th TER,29.61979926,-82.36474101
952,952,Gainesville Place Apartments,Northbound Gainesville Place Apartments @ Farside*,29.62192044,-82.36515984
953,953,Gainesville Place Apartments,Northbound Gainesville Place Apartments @ Farside*,29.62347528,-82.36550084
954,954,Enclave Apartments,Westbound SW 28th PL @ Farside SW 28th PL,29.625581,-82.36635733
955,955,Gainesville Place Apartments,Northbound Old Archer RD @ Nearside SW 31st TER,29.62732828,-82.37072884
956,956,Old Archer Road @ SW 34th Street,Westbound Old Archer RD @ Nearside SW 34th ST,29.62610628,-82.37217434
957,957,Regency Oaks Apartments,Northbound SW 34th ST @ Farside Windmeadows BLVD,29.6293415,-82.37241262
958,958,34th Street Plaza,Northbound SW 34th ST @ Nearside SW 20th AVE,29.63155861,-82.37240934
960,960,34th Street Wall,Northbound SW 34th ST @ Nearside SW 2nd Ave,29.64625762,-82.37230727
937,937,Point West Apartments,Southbound SW 34th ST @ Farside SW 2nd Ave,29.64799127,-82.37252484
938,938,Maguire Village @ SW 34th Street,Southbound SW 34th ST @ Nearside Radio RD,29.64243211,-82.37264884
942,942,34th Street Plaza,Southbound SW 34th ST @ Farside SW 20th AVE,29.63269014,-82.37269976
943,943,Kelly's Kwik Stop,Southbound SW 34th ST @ Farside SW 24th AVE,29.62974544,-82.37273201
945,945,Ridgemar Commons,Eastbound SW 35th PL @ Farside SW 32nd TER,29.62156578,-82.37041567
946,946,Victoria Station Apartments,Eastbound SW 35th PL @ Farside SW 32nd TER,29.62084845,-82.36842368
947,947,Gainesville Place Apartments @ SW 35th Place,Eastbound SW 35th PL @ Farside SW 28th TER,29.61968251,-82.36507941
1140,1140,Southbound SW 27th Street @ SW 35th Place,Southbound SW 27th ST @ Farside SW 35th PL,29.61930232,-82.36289011
949,949,Lexington Crossing Apartments,Southbound SW 27th ST @ Farside SW 35th PL,29.61698278,-82.36263418
950,950,Lexington Crossing Apartments,Southbound SW 27 PL @ Nearside SW 38th PL,29.61536761,-82.36244534
659,659,Shands Hospital @ Parking Garage 9,Southbound Gale Lemerand DR @ Farside Archer RD,29.63598909,-82.3501354
660,660,Shands Hospital @ Helipad,Westbound Shealy DR @ Farside SW 16TH AVE,29.63550244,-82.35124418
1137,1137,Savannah Place Apartments,Westbound SW 35th PL @ Farside SW 23rd TER,29.62024928,-82.35669501
1138,1138,Arbor Apartments,Westbound SW 35th PL @ Farside SW 23rd TER,29.62010093,-82.35852871
1139,1139,Casablanca Apartments,Westbound SW 35th PL @ Nearside SW 27th ST,29.61991231,-82.36126334
1213,1213,Lexington Crossing Apartments,Southbound SW 27th ST @ Nearside SW 40th PL,29.61353495,-82.36227118
1542,1542,The Polos Southwest Entrance,Eastbound SW 40th Pl. @ Nearside SW 25th Ter,29.61357757,-82.35993945
967,967,Hunters Run Apartments,Westbound Williston RD @ Farside SW 25th TER,29.6120404,-82.3593791
968,968,Hideaway Apartments,Westbound Williston RD @ Nearside SW 29Th Dr,29.60890011,-82.36401368
969,969,Nationwide Insurance @ Williston Road,Westbound Williston RD @ Farside SW 29Th Dr,29.6061827,-82.36775094
970,970,Williston Plaza,Northbound SW 34th ST @ Farside Williston RD,29.60593628,-82.37105451
971,971,US Post Office @ SW 34th Street,Northbound SW 34th ST @ Nearside SW 47th AVE,29.60899095,-82.37131384
972,972,Laurels Apartments,Northbound SW 34th ST @ Farside SW 47th AVE,29.61150395,-82.37156334
974,974,Dollar General,Northbound SW 34th ST @ Farside SW 42 PL,29.61481845,-82.37192334
642,642,University Terrace Condominiums,Northbound SW 34th ST @ Nearside SW 39th BLVD,29.61700561,-82.37215334
1310,1310,Williston Plaza,Northbound SW 47th AVE @ Nearside SW 34th ST,29.60882961,-82.37349417
31,31,Regal  Cinema 14 @ Butler Plaza,Northbound Windmeadows BLVD @ Farside SW 35th BLVD,29.62774011,-82.37767401
33,33,Spanish Trace Apartments,Eastbound Windmeadows BLVD @ Nearside SW 34th ST,29.62816728,-82.37429067
1155,1155,Spanish Trace Apartments,Westbound Windmeadows BLVD @ Farside SW 34th ST,29.62835676,-82.37445971
1156,1156,Windmeadows Apartments,Westbound Windmeadows BLVD @ Nearside SW 35th ST,29.6274583,-82.37816707
1307,1307,Alarion Bank @ 34th ST,Southbound SW 34th ST @ Farside SW 42nd PL,29.6139082,-82.37217239
1308,1308,US Post Office @ SW 34th Street,Southbound SW 34th ST @ Nearside SW 47th AVE,29.61099539,-82.3718525
1309,1309,Williston Plaza,Westbound SW 48th LN @ Nearside SW 34th ST,29.60638462,-82.37261401
1321,1321,The Enclave Apartments,Westbound SW 35th PL @ Nearside SW 34th ST,29.62116078,-82.36882668
1322,1322,Rocky Point Apartments,Westbound SW 35th PL @ Nearside SW 34th ST,29.62165178,-82.37030367
1337,1337,Gainesville Place,Southbound Gainesville Place Apartments @ Nearsid*,29.62183194,-82.36547951
1267,1267,University Commons Apartments,Westbound Old Archer RD @ Farside SW 23rd TER,29.63119394,-82.3632431
1268,1268,Brandywine Apartments,Westbound Old Archer RD @ Farside SW 28th PL,29.630199,-82.365372
1269,1269,Archer Court Apartments,Westbound Old Archer RD @ Nearside SW 28th Pl,29.62941028,-82.36710018
1270,1270,Gainesville Place Apartments,Southbound Gainesville Place Ent @ Old Archer RD,29.62718809,-82.3707817
1333,1333,Enclave 1,Eastbound SW 32nd Terrace @ E of Main Bldg,29.62541033,-82.36779262
1460,1460,Enclave 3,Eastbound SW 32nd Terrace @ Traffic Circle,29.6235224,-82.36576324
1341,1341,Enclave 4,Eastbound Enclave Apartments @ Nearside Enclave A*,29.62278261,-82.36676568
1539,1539,Possum Creek Park,Northbound NW 41st Ter @ Nearside NW 53rd Ave,29.70296043,-82.38666618
1538,1538,Hunter's Crossing,Southbound NW 43rd St. @ Farside NW 52nd Pl,29.7019725,-82.38901447
1534,1534,Southbound NW 43rd St. @ NW 48th Pl,Southbound NW 43rd St. @ Nearside NW 48th Pl,29.69962914,-82.38903062
1532,1532,Southbound NW 43rd St. @ NW 46th Ave,Southbound NW 43rd St. @ Nearside NW 46th Ave,29.6967748,-82.38903173
1530,1530,Southbound NW 43rd St. @ NW 44th Ave,Southbound NW 43rd St. @ Farside NW 44th Ave,29.6940835,-82.38903565
1391,1391,Metrocorp Center,Eastbound NW 39th AVE @ Nearside NW 40th TER,29.68854075,-82.38688465
1389,1389,Eastbound NW 39th AVE @ NW 37th ST,Eastbound NW 39th AVE @ Farside NW 37th ST,29.68852499,-82.37769863
1388,1388,Sable Chase Neighborhood,Eastbound NW 39th AVE @ Farside NW 35th ST,29.68853842,-82.37453876
1526,1526,Southbound NW 34th St. @ NW 37th Ave,Northbound NW 34th St. @ Nearside NW 37th Ave,29.68724539,-82.37241065
1524,1524,Southbound NW 34th St. @ NW 33rd Ln,Southbound NW 34th St. @ Nearside NW 33rd Ln,29.68376501,-82.37242465
1536,1536,Southbound NW 34th St @ NW 30th Pl,Southbound NW 34th St. @ Farside NW 30th Blvd,29.68070534,-82.37244534
1522,1522,Southbound NW 34th St @ NW 26th Pl,Southbound NW 34th St. @ Nearside NW 34th Ter,29.67640407,-82.37238512
1520,1520,Southbound NW 34th St. @ NW 21st Pl,Southbound NW 34th St. @ Nearside NW 21st Pl,29.67256845,-82.37238885
1518,1518,Greenbriar Terrace Community,Southbound NW 34th St. @ Farside NW 19th Pl,29.66871884,-82.37243238
1516,1516,Southbound Westwood Middle School,Southbound NW 34th St. @ Farside NW 15th Pl,29.66570261,-82.37244764
1514,1514,Littlewood Elementary School,Southbound NW 34th St. @ Nearside NW 8th Ave,29.66044331,-82.37246751
1512,1512,Southbound NW 34th St. @ NW 7th Ave,Southbound NW 34th St. @ Nearside NW 7th Ave,29.65811015,-82.37247892
1510,1510,Southbound Loblolly Woods South Entrance,Southbound NW 34th St @ Nearside NW 5th Ave,29.65530318,-82.37248585
1509,1509,Northbound Loblolly Woods South Entrance,Northbound NW 34th Street @ Nearside NW 5th Ave,29.65516593,-82.3723512
1511,1511,Northbound NW 34th St. @ NW 8th Ave,Northbound NW 34th St. @ Nearside NW 8th Ave,29.65751614,-82.37235009
1513,1513,Westside Recreation Center,Northbound NW 34th St. @ Farside NW 8th Ave,29.66059556,-82.37234847
1515,1515,Northbound Westwood Middle School,Northbound NW 34th St. @ Nearside NW 15th Ave,29.66502258,-82.37233526
1517,1517,Northbound NW 34th St @ NW 16th Ave,Northbound NW 34th St @ Farside NW 16th Ave,29.66849152,-82.37231114
1519,1519,Northbound NW 34th St @ NW 21st Pl,Northbound NW 34th St. @ Nearside NW 24th Ave,29.67202866,-82.37227906
1521,1521,Northbound NW 34th St. @ NW 26th Ave,Northbound NW 34th St. @ Nearside NW 26th Ave,29.6762061,-82.37224992
1535,1535,Northbound NW 34th St. @ NW 31st Ave,Northbound NW 34th St. @ Nearside NW 31st Ave,29.68127738,-82.37231474
1523,1523,Northbound NW 34th St @ NW 33rd Ln,Northbound NW 34th St. @ Nearside NW 31st Blvd,29.6836004,-82.372286
1525,1525,Northbound NW 34th St. @ NW 31st Blvd,Northbound NW 34th St. @ Nearside NW 31st Blvd,29.68658377,-82.3722623
1387,1387,Sable Chase Neighborhood,Westbound NW 39th AVE @ Nearside NW 35th ST,29.68877336,-82.37455097
1386,1386,Breckenridge Neighborhood,Westbound NW 39th AVE @ Farside NW 37th TER,29.68879176,-82.378614
1384,1384,Metrocorp Center,Westbound NW 39th AVE @ Nearside NW 43rd ST,29.68882193,-82.38607417
1527,1527,Northbound NW 43rd St. @ NW 39th Ave,Northbound NW 34th St. @ Farside NW 39th Ave,29.69021062,-82.38887837
1529,1529,Pinewood Terrace Community,Northbound NW 43rd St. @ Nearside NW 44th Ave,29.693571,-82.38881393
1531,1531,Northbound NW 43rd St. @ NW 46th Ave,Northbound NW 43rd St. @ Nearside NW 46th Ave,29.69652036,-82.38879923
1533,1533,Northbound NW 43rd St. @ NW 48th Pl,Northbound NW 43rd St. @ Nearside NW 48th Pl,29.69909258,-82.38878842
1537,1537,Walgreens on NW 43rd Street,Northbound NW 43rd St. @ Nearside NW 52nd Pl,29.70197656,-82.38878442
1002,1002,Santa Fe College @ NW 83rd Street,Northbound NW 83rd ST @ Nearside NW 31st AVE,29.68060993,-82.43026999
1003,1003,The Arc,Northbound NW 83rd ST @ Farside North RD,29.68389593,-82.43021649
1004,1004,Windsor Assisted Living,Northbound NW 83rd ST @ Farside NW 36th AVE,29.68579267,-82.43022521
1005,1005,Springhill Professional Center,Northbound NW 83rd ST @ Nearside NW 39th AVE,29.68865443,-82.43020666
1006,1006,Robin Lane Neighborhood,Eastbound NW 39th AVE @ Farside NW 75th ST,29.68870176,-82.42210866
1007,1007,Unicorn Hill Farm,Eastbound NW 39th AVE @ Nearside NW 69th ST,29.68867876,-82.41615716
1008,1008,Greystone Community,Eastbound NW 39th AVE @ Nearside NW 63rd ST,29.68868176,-82.40998049
1009,1009,Faith Presbyterian Church,Eastbound NW 39th AVE @ Farside NW 63rd ST,29.68865393,-82.40592283
1010,1010,Huntington Lakes Apartments,Eastbound NW 39th AVE @ Nearside NW 53rd ST,29.68859443,-82.40046483
1011,1011,NW Grille Seafood,Eastbound NW 39th AVE @ Nearside NW 51st ST,29.68852843,-82.397711
1012,1012,Autumn Woods Neighborhood,Eastbound NW 39th AVE @ Nearside NW 48th TER,29.68857376,-82.39488333
1013,1013,Pine Woods Apartments,Eastbound NW 39th AVE @ Nearside NW 45th ST,29.68854768,-82.39126286
1014,1014,Allstate Insurance,Southbound NW 43rd ST @ Nearside NW 37th PL,29.68773143,-82.38907083
1325,1325,Division of Blind Services,Southbound NW 43rd ST @ Nearside NW 36th AVE,29.68650376,-82.38906317
1015,1015,Southbound NW 43rd Street @ NW 33rd Court,Southbound NW 43rd ST @ Nearside NW 33rd CT,29.684033,-82.38907333
1016,1016,Millhopper Branch Library,Southbound NW 43rd ST @ Nearside NW 31st AVE,29.68159919,-82.38906282
1017,1017,Sunstate Insurance,Southbound NW 43rd ST @ Nearside NW 27th AVE,29.67644934,-82.38909345
1018,1018,CVS @ Millhopper,Southbound NW 43rd ST @ Nearside NW 23rd AVE,29.67491241,-82.38909898
1019,1019,Millhopper Plaza,Southbound NW 43rd ST @ Farside NW 23rd AVE,29.67212113,-82.38910801
1020,1020,Southbound NW 43rd Street @ NW 19th Avenue,Southbound NW 43rd ST @ Nearside NW 19th AVE,29.67005892,-82.3891283
1022,1022,Southbound NW 43rd Street @ NW 15th Place,Southbound NW 43rd ST @ Nearside NW 15th PL,29.66678943,-82.3891125
